tahun,bulan,nilai,berat
1999,"January",1.772e+09,4.521e+09
2000,"January",2.169e+09,5.497e+09
2001,"January",2.941e+09,5.099e+09
2002,"January",2.088e+09,5.293e+09
2003,"January",2.739e+09,6.924e+09
2004,"January",3.343e+09,6.820e+09
2005,"January",4.121e+09,6.611e+09
2006,"January",4.389e+09,6.126e+09
2007,"January",5.284e+09,7.564e+09
2008,"January",9.608e+09,8.349e+09
2009,"January",6.601e+09,6.409e+09
2010,"January",9.490e+09,8.244e+09
2011,"January",1.256e+10,9.742e+09
2012,"January",1.455e+10,9.671e+09
2013,"January",1.545e+10,1.193e+10
2014,"January",1.492e+10,1.159e+10
1999,"February",1.809e+09,5.445e+09
2000,"February",2.120e+09,5.053e+09
2001,"February",3.177e+09,5.943e+09
2002,"February",2.182e+09,5.696e+09
2003,"February",2.819e+09,6.555e+09
2004,"February",3.389e+09,7.005e+09
2005,"February",4.282e+09,6.325e+09
2006,"February",4.528e+09,6.432e+09
2007,"February",4.663e+09,6.335e+09
2008,"February",9.843e+09,8.975e+09
2009,"February",5.939e+09,5.354e+09
2010,"February",9.498e+09,8.088e+09
2011,"February",1.175e+10,9.447e+09
2012,"February",1.487e+10,1.104e+10
2013,"February",1.531e+10,1.090e+10
2014,"February",,
1999,"March",1.976e+09,4.641e+09
2000,"March",2.265e+09,5.504e+09
2001,"March",3.094e+09,6.249e+09
2002,"March",2.363e+09,6.010e+09
2003,"March",2.818e+09,5.659e+09
2004,"March",3.470e+09,7.024e+09
2005,"March",5.177e+09,7.834e+09
2006,"March",4.410e+09,6.347e+09
2007,"March",5.647e+09,7.738e+09
2008,"March",1.028e+10,8.407e+09
2009,"March",6.554e+09,5.978e+09
2010,"March",1.097e+10,8.994e+09
2011,"March",1.449e+10,1.034e+10
2012,"March",1.633e+10,1.123e+10
2013,"March",1.489e+10,1.102e+10
2014,"March",,
1999,"April",2.122e+09,4.478e+09
2000,"April",2.339e+09,5.682e+09
2001,"April",2.916e+09,5.722e+09
2002,"April",2.383e+09,5.348e+09
2003,"April",2.622e+09,5.341e+09
2004,"April",3.550e+09,6.523e+09
2005,"April",5.112e+09,7.554e+09
2006,"April",4.780e+09,6.209e+09
2007,"April",5.644e+09,6.923e+09
2008,"April",1.165e+10,9.332e+09
2009,"April",6.707e+09,6.806e+09
2010,"April",1.124e+10,9.322e+09
2011,"April",1.489e+10,1.120e+10
2012,"April",1.694e+10,1.158e+10
2013,"April",1.646e+10,1.221e+10
2014,"April",,
1999,"May",1.959e+09,4.989e+09
2000,"May",2.384e+09,5.364e+09
2001,"May",2.913e+09,6.380e+09
2002,"May",2.498e+09,5.980e+09
2003,"May",2.576e+09,5.658e+09
2004,"May",3.429e+09,6.186e+09
2005,"May",4.950e+09,7.377e+09
2006,"May",5.097e+09,6.761e+09
2007,"May",6.455e+09,8.441e+09
2008,"May",1.166e+10,8.763e+09
2009,"May",7.641e+09,7.568e+09
2010,"May",9.980e+09,8.562e+09
2011,"May",1.483e+10,1.101e+10
2012,"May",1.704e+10,1.188e+10
2013,"May",1.666e+10,1.261e+10
2014,"May",,
1999,"June",1.896e+09,4.729e+09
2000,"June",2.473e+09,5.395e+09
2001,"June",2.703e+09,5.342e+09
2002,"June",2.439e+09,5.799e+09
2003,"June",2.447e+09,5.359e+09
2004,"June",3.782e+09,6.471e+09
2005,"June",4.821e+09,7.192e+09
2006,"June",5.725e+09,8.324e+09
2007,"June",6.015e+09,7.739e+09
2008,"June",1.211e+10,8.681e+09
2009,"June",7.935e+09,8.209e+09
2010,"June",1.176e+10,1.001e+10
2011,"June",1.507e+10,1.116e+10
2012,"June",1.673e+10,1.228e+10
2013,"June",1.564e+10,1.193e+10
2014,"June",,
1999,"July",2.007e+09,5.952e+09
2000,"July",2.687e+09,5.560e+09
2001,"July",2.453e+09,5.449e+09
2002,"July",2.646e+09,6.531e+09
2003,"July",2.609e+09,5.784e+09
2004,"July",4.191e+09,7.213e+09
2005,"July",4.986e+09,6.970e+09
2006,"July",5.425e+09,7.475e+09
2007,"July",6.361e+09,7.038e+09
2008,"July",1.287e+10,8.782e+09
2009,"July",8.683e+09,7.865e+09
2010,"July",1.263e+10,9.877e+09
2011,"July",1.621e+10,1.177e+10
2012,"July",1.635e+10,1.154e+10
2013,"July",1.742e+10,1.323e+10
2014,"July",,
1999,"August",2.044e+09,5.651e+09
2000,"August",3.237e+09,6.081e+09
2001,"August",2.349e+09,5.114e+09
2002,"August",2.824e+09,6.086e+09
2003,"August",2.696e+09,5.625e+09
2004,"August",4.101e+09,6.785e+09
2005,"August",5.488e+09,7.236e+09
2006,"August",5.704e+09,6.737e+09
2007,"August",6.917e+09,8.232e+09
2008,"August",1.233e+10,8.317e+09
2009,"August",9.707e+09,8.494e+09
2010,"August",1.217e+10,9.644e+09
2011,"August",1.508e+10,1.102e+10
2012,"August",1.381e+10,1.013e+10
2013,"August",1.301e+10,9.898e+09
2014,"August",,
1999,"September",2.155e+09,6.408e+09
2000,"September",3.446e+09,6.018e+09
2001,"September",2.133e+09,4.912e+09
2002,"September",2.860e+09,5.885e+09
2003,"September",2.740e+09,5.733e+09
2004,"September",4.245e+09,7.028e+09
2005,"September",4.921e+09,6.677e+09
2006,"September",5.647e+09,8.168e+09
2007,"September",6.791e+09,7.763e+09
2008,"September",1.130e+10,8.172e+09
2009,"September",8.517e+09,8.856e+09
2010,"September",9.654e+09,7.219e+09
2011,"September",1.517e+10,1.005e+10
2012,"September",1.535e+10,1.081e+10
2013,"September",1.551e+10,1.129e+10
2014,"September",,
1999,"October",2.048e+09,5.270e+09
2000,"October",3.488e+09,5.910e+09
2001,"October",2.079e+09,4.952e+09
2002,"October",3.105e+09,6.825e+09
2003,"October",2.802e+09,5.681e+09
2004,"October",4.156e+09,6.239e+09
2005,"October",4.863e+09,7.309e+09
2006,"October",4.582e+09,6.812e+09
2007,"October",6.286e+09,6.897e+09
2008,"October",1.073e+10,7.868e+09
2009,"October",9.430e+09,9.230e+09
2010,"October",1.212e+10,9.386e+09
2011,"October",1.553e+10,1.041e+10
2012,"October",1.721e+10,1.238e+10
2013,"October",1.567e+10,1.210e+10
2014,"October",,
1999,"November",2.060e+09,4.748e+09
2000,"November",3.574e+09,6.142e+09
2001,"November",2.117e+09,5.085e+09
2002,"November",2.956e+09,6.775e+09
2003,"November",2.798e+09,5.841e+09
2004,"November",3.895e+09,6.288e+09
2005,"November",4.091e+09,5.589e+09
2006,"November",5.810e+09,7.725e+09
2007,"November",7.574e+09,8.201e+09
2008,"November",9.081e+09,6.895e+09
2009,"November",8.815e+09,7.715e+09
2010,"November",1.301e+10,1.054e+10
2011,"November",1.539e+10,1.071e+10
2012,"November",1.694e+10,1.250e+10
2013,"November",1.515e+10,1.165e+10
2014,"November",,
1999,"December",2.155e+09,5.408e+09
2000,"December",3.332e+09,5.183e+09
2001,"December",2.085e+09,5.320e+09
2002,"December",2.945e+09,6.513e+09
2003,"December",2.885e+09,5.543e+09
2004,"December",4.973e+09,7.739e+09
2005,"December",4.890e+09,6.993e+09
2006,"December",4.968e+09,6.693e+09
2007,"December",6.838e+09,7.065e+09
2008,"December",7.742e+09,6.122e+09
2009,"December",1.030e+10,8.873e+09
2010,"December",1.315e+10,1.081e+10
